ein,name,careofname,address,city,state,zipcode,exemption_number,subsection_code,affiliation_code,classification_codes,ruling_date,deductibility_code,foundation_code,activity_codes,organization_code,exempt_organization_status_code,tax_period,asset_code,income_code,filing_requirement_code,pf_filing_requirement_code,accounting_period,asset_amount,income_amount,revenue_amount,ntee_code,sort_name,created_at,updated_at,data_source,raw_ntee_code,subseccd,sub_name,strein,ntee_letter
362167060,Northshore University Healthsystem,,3040 W SALT CREEK LN,Arlington Hts,IL,60005-1069,0,3,3,1000,1996-10-01,1,12,161000000,1,1,2023-12-01,9,9,1,0,12,6512321625.0,4479370545.0,2171618732.0,E220,,2023-05-09T20:29:20.348Z,2025-11-18T01:38:52.395Z,current_2025_11_18,E220,3,Northshore University Healthsystem,36-2167060,E
364015560,Loyola University Medical Center,% FINANCE DEPARTMENT,2160 S 1ST AVE,Maywood,IL,60153-3328,0,3,3,1200,1995-07-01,1,12,250000000,1,1,2024-06-01,9,9,1,0,6,4203621049.0,1651854129.0,1650997608.0,E220,,2023-05-09T20:29:31.818Z,2025-11-18T01:38:58.133Z,current_2025_11_18,E220,3,Loyola University Medical Center,36-4015560,E
362170833,Ann & Robert H Lurie Childrens Hospital Of Chicago,% BRENDA DAVIS,225 E CHICAGO AVE BOX 269,Chicago,IL,60611-2991,0,3,3,1000,1923-04-01,1,12,154059927,1,1,2024-08-01,9,9,1,0,8,3553203774.0,6057234995.0,1526366047.0,E24Z,Dba Lurie Childrens,2023-05-09T20:29:20.491Z,2025-11-18T01:38:55.197Z,current_2025_11_18,E24Z,3,Ann & Robert H Lurie Childrens Hospital Of Chicago Dba Lurie Childrens,36-2170833,E
371119538,The Carle Foundation Hospital,% DENNIS P HESCH EXEC VP & C,611 W PARK ST,Urbana,IL,61801-2529,0,3,3,1000,1982-10-01,1,12,000000000,1,1,2023-12-01,9,9,1,0,12,648066880.0,1444813845.0,1415874416.0,E220,,2023-05-09T20:29:42.496Z,2025-11-18T01:39:01.266Z,current_2025_11_18,E220,3,The Carle Foundation Hospital,37-1119538,E
363196629,Advocate North Side Health Network,% JAMES DOHENY,3075 HIGHLAND PKWY FL 6,Downers Grove,IL,60515-5563,0,3,3,1000,1988-12-01,1,12,000000000,1,1,2023-12-01,9,9,1,0,12,1417130723.0,1232271180.0,1232827665.0,E220,,2023-05-09T20:29:24.255Z,2025-11-18T01:38:55.197Z,current_2025_11_18,E220,3,Advocate North Side Health Network,36-3196629,E
366066772,Alliant Credit Union,% PAYROLL - FINANCIAL REPORTING,11545 W TOUHY AVE,Chicago,IL,60666-5000,0,14,3,1000,1964-10-01,2,0,251603000,5,1,2023-12-01,9,9,1,0,12,18473232789.0,1849718966.0,1150050242.0,W61,,2023-05-09T20:29:37.974Z,2025-11-18T01:39:01.266Z,current_2025_11_18,W61,14,Alliant Credit Union,36-6066772,W
361408475,Loyola University Of Chicago,% TERESA KRAFCISIN CONTROLLER,820 N MICHIGAN AVE LEWIS TOWERS RM,Chicago,IL,60611-2147,0,3,3,1000,2007-08-01,1,11,000000000,1,1,2024-06-01,9,9,1,0,6,2561990362.0,1721305563.0,1078200916.0,B430,,2023-05-09T20:29:19.956Z,2025-11-18T01:38:52.395Z,current_2025_11_18,B430,3,Loyola University Of Chicago,36-1408475,B
362167048,Depaul University,% UNIVERSITY TAX SERVICES,1 E JACKSON BLVD,Chicago,IL,60604-2201,0,3,3,2000,1952-10-01,1,11,046030000,1,1,2024-06-01,9,9,1,0,6,1919765785.0,1074957807.0,918078036.0,B430,,2023-05-09T20:29:20.348Z,2025-11-18T01:38:52.395Z,current_2025_11_18,B430,3,Depaul University,36-2167048,B
367274697,Accenture United States Benefit,% NORTHERN TRUST CO,500 W MADISON ST LBBY 24,Chicago,IL,60661-4520,0,9,3,1000,2002-05-01,2,0,000000000,1,1,2024-08-01,9,9,1,0,8,123314666.0,901296242.0,901296242.0,Y43,,2023-05-09T20:29:39.964Z,2025-11-18T01:39:01.266Z,current_2025_11_18,Y43,9,Accenture United States Benefit,36-7274697,Y
362222696,Swedishamerican Hospital,,1401 E STATE ST,Rockford,IL,61104-2315,0,3,3,1000,1936-06-01,1,12,150000000,1,1,2024-06-01,9,9,1,0,6,1157585139.0,896186459.0,888094833.0,E220,,2023-05-09T20:29:20.842Z,2025-11-18T01:38:55.197Z,current_2025_11_18,E220,3,Swedishamerican Hospital,36-2222696,E
274818015,Paul M Angell Family Foundation,,4140 W FULLERTON AVE,Chicago,IL,60639-2106,0,3,3,1000,2011-06-01,1,4,000000000,1,1,2024-12-01,9,9,0,1,12,903277356.0,866996211.0,,T22,,2023-05-09T20:28:03.042Z,2025-11-18T01:38:27.224Z,current_2025_11_18,T22,3,Paul M Angell Family Foundation,27-4818015,T
363297173,Edward Hospital,,4201 WINFIELD RD,Warrenville,IL,60555-4025,0,3,3,1000,1984-06-01,1,12,150000000,1,1,2023-12-01,9,9,1,0,12,492345353.0,842076179.0,841972514.0,E220,,2023-05-09T20:29:25.609Z,2025-11-18T01:38:55.197Z,current_2025_11_18,E220,3,Edward Hospital,36-3297173,E
135656874,Blue Cross Blue Shield Association,% BRAD LUBRANT,200 E RANDOLPH,Chicago,IL,60601-6436,0,4,1,3000,1958-02-01,2,0,161180059,1,1,2023-12-01,9,9,1,0,12,1126787082.0,840274903.0,819123548.0,E80,,2023-05-09T20:26:14.096Z,2025-11-18T01:37:50.743Z,current_2025_11_18,E80,4,Blue Cross Blue Shield Association,13-5656874,E
390817529,St Vincent Hospital Of The Hospital Sisters Of The Third Order Of St,% PATTY ALLEN,4936 LAVERNA RD,Springfield,IL,62707-9797,928,3,9,1200,1946-03-01,1,12,001030150,5,1,2024-06-01,9,9,1,0,6,918894557.0,739911907.0,739729326.0,E220,Francis,2023-05-09T20:30:12.191Z,2025-11-18T01:39:12.973Z,current_2025_11_18,E220,3,St Vincent Hospital Of The Hospital Sisters Of The Third Order Of St Francis,39-0817529,E
363738206,Endeavor Health Medical Group,,3040 W SALT CREEK LN,Arlington Hts,IL,60005-1069,0,3,3,1000,1991-10-01,1,17,179000000,1,1,2023-12-01,9,9,1,0,12,355307366.0,730676505.0,730676505.0,E110,,2023-05-09T20:29:29.632Z,2025-11-18T01:38:58.133Z,current_2025_11_18,E110,3,Endeavor Health Medical Group,36-3738206,E
571239010,Fermi Research Alliance Llc,% CYNTHIA S CONGER,PO BOX 500,Batavia,IL,60510-5011,0,3,3,2000,2007-02-01,1,15,000000000,1,1,2024-09-01,8,9,1,0,9,18880484.0,715499867.0,715499867.0,U02,,2023-05-09T20:32:50.596Z,2025-11-18T01:40:13.908Z,current_2025_11_18,U02,3,Fermi Research Alliance Llc,57-1239010,U
301211139,Ulse Inc,% RON BLAUSTEIN,333 PFINGSTEN RD,Northbrook,IL,60062-2002,0,4,3,3000,2023-07-01,2,0,000000000,1,1,2023-12-01,9,9,1,0,12,2092621786.0,915308662.0,709404028.0,W90,,2023-08-07T16:54:35.982Z,2025-11-18T01:38:30.078Z,current_2025_11_18,W90,4,Ulse Inc,30-1211139,W
370618939,Southern Illinois Hospital Services,% DIANE ANDERSON,PO BOX 3988,Carbondale,IL,62902-3988,0,3,1,1000,1946-11-01,1,12,150000000,1,1,2024-03-01,9,9,1,0,3,1447562157.0,808523669.0,707207213.0,E220,,2023-05-09T20:29:40.503Z,2025-11-18T01:39:01.266Z,current_2025_11_18,E220,3,Southern Illinois Hospital Services,37-0618939,E
370661183,Blessing Hospital,,PO BOX 7005,Quincy,IL,62305-7005,0,3,3,1000,1938-10-01,1,12,150000000,1,1,2024-09-01,9,9,1,0,9,806578528.0,858295946.0,704735162.0,E220,,2023-05-09T20:29:40.643Z,2025-11-18T01:39:01.266Z,current_2025_11_18,E220,3,Blessing Hospital,37-0661183,E
363097297,Northwestern Memorial Healthcare,% DAVID BILLER,541 N FAIRBANKS CT RM 1630,Chicago,IL,60611-3319,5878,3,9,1000,2011-06-01,1,17,161000000,1,1,2024-08-01,9,9,1,0,8,,,,E020,Northwestern Medical Faculty Founda,2023-05-09T20:29:23.615Z,2025-11-18T01:38:55.197Z,current_2025_11_18,E020,3,Northwestern Memorial Healthcare Northwestern Medical Faculty Founda,36-3097297,E
376006007,University Of Illinois Foundation,% CHRISTINE C DEVOCELLE,303 SAINT MARYS RD,Champaign,IL,61820-6930,0,3,3,1200,1948-06-01,1,13,059922927,1,1,2024-06-01,9,9,1,0,6,3593401616.0,1793118190.0,671293663.0,B110,,2023-05-09T20:29:48.469Z,2025-11-18T01:39:04.098Z,current_2025_11_18,B110,3,University Of Illinois Foundation,37-6006007,B
237098532,Sarah Bush Lincoln Health Center,% DENNIS J PLUARD CPA,1000 HEALTH CENTER DR,Mattoon,IL,61938-4644,0,3,3,1280,1971-03-01,1,12,150161000,1,1,2024-06-01,9,9,1,0,6,1196877388.0,747498850.0,626211648.0,E220,,2023-05-09T20:26:59.559Z,2025-11-18T01:38:05.465Z,current_2025_11_18,E220,3,Sarah Bush Lincoln Health Center,23-7098532,E
362340313,Northwest Community Hospital,% CHRISSIE ERDMANN,3040 W SALT CREEK LN,Arlington Hts,IL,60005-1069,0,3,3,1000,1963-03-01,1,12,150000000,1,1,2023-12-01,9,9,1,0,12,553316449.0,617182430.0,616010768.0,E220,,2023-05-09T20:29:21.136Z,2025-11-18T01:38:55.197Z,current_2025_11_18,E220,3,Northwest Community Hospital,36-2340313,E
237093598,John D & Catherine T Macarthur Foundation,,140 S DEARBORN ST STE 1200,Chicago,IL,60603-5285,0,3,3,1000,1971-02-01,1,4,161000000,1,1,2023-12-01,9,9,0,1,12,8672283398.0,5198007273.0,,T20Z,,2023-05-09T20:26:59.387Z,2025-11-18T01:38:05.465Z,current_2025_11_18,T20Z,3,John D & Catherine T Macarthur Foundation,23-7093598,T
370661238,St Johns Hospital Of The Hospital Sisters Of The Third Order Of St F,% SEAN P FISCHER,4936 LAVERNA RD,Springfield,IL,62707-9797,928,3,9,1000,1946-03-01,1,12,150029000,1,1,2024-06-01,9,9,1,0,6,593691956.0,607798796.0,601614438.0,E220,,2023-05-09T20:29:40.643Z,2025-11-18T01:39:01.266Z,current_2025_11_18,E220,3,St Johns Hospital Of The Hospital Sisters Of The Third Order Of St F,37-0661238,E
262525968,Advocate Health Care Network,% JAMES W DOHENY,3075 HIGHLAND PKWY FL 6,Downers Grove,IL,60515-5563,9395,3,9,1000,1988-09-01,1,17,179000000,1,1,2023-12-01,9,9,1,0,12,639323280.0,591797833.0,591979880.0,E22,Advocate Condell Medical Center,2023-05-09T20:27:40.756Z,2025-11-18T01:38:18.158Z,current_2025_11_18,E22,3,Advocate Health Care Network Advocate Condell Medical Center,26-2525968,E
362174832,Silver Cross Hospital & Medical Centers,% VINCENT PRYOR CFO,1900 SILVER CROSS BLVD,New Lenox,IL,60451-9509,0,3,3,1000,1937-03-01,1,12,150000000,1,1,2024-09-01,9,9,1,0,9,1143623821.0,587807527.0,587807527.0,E220,,2023-05-09T20:29:20.627Z,2025-11-18T01:38:55.197Z,current_2025_11_18,E220,3,Silver Cross Hospital & Medical Centers,36-2174832,E
371058692,Hospital Sisters Health System,% LINDA DACE,4936 LAVERNA RD,Springfield,IL,62707-9797,928,3,9,1200,1946-03-01,1,17,001150120,5,1,2024-06-01,9,9,1,0,6,582768997.0,577840016.0,577840016.0,E210,,2023-05-09T20:29:42.079Z,2025-11-18T01:39:01.266Z,current_2025_11_18,E210,3,Hospital Sisters Health System,37-1058692,E
370673465,The Carle Foundation,% DENNIS P HESCH EXEC VP/CFO,611 W PARK ST,Urbana,IL,61801-2529,0,3,3,1200,1948-04-01,1,17,161180059,1,1,2023-12-01,9,9,1,0,12,2977227900.0,719188405.0,575377812.0,E210,,2023-05-09T20:29:40.787Z,2025-11-18T01:39:01.266Z,current_2025_11_18,E210,3,The Carle Foundation,37-0673465,E
362276984,Adventist Midwest Health,% ADVENTIST MIDWEST HEALTH,120 N OAK ST,Hinsdale,IL,60521-3829,0,3,3,1000,1965-05-01,1,12,150000000,1,1,2024-06-01,9,9,1,0,6,556150866.0,574851602.0,574662005.0,E220,Adventist Hinsdale Hospital,2023-05-09T20:29:20.993Z,2025-11-18T01:38:55.197Z,current_2025_11_18,E220,3,Adventist Midwest Health Adventist Hinsdale Hospital,36-2276984,E
412120170,Midwest Food Bank Nfp Inc,,2031 WAREHOUSE RD,Normal,IL,61761-1038,0,3,3,1000,2004-11-01,1,15,000000000,1,1,2024-12-01,9,9,1,0,12,86600270.0,558375172.0,556728681.0,P99,,2023-05-09T20:30:36.213Z,2025-11-18T01:39:21.878Z,current_2025_11_18,P99,3,Midwest Food Bank Nfp Inc,41-2120170,P
363377698,Midwestern University,% LISA PODBEVSEK,555 31ST ST,Downers Grove,IL,60515-1235,0,3,3,2000,1996-09-01,1,11,059205905,1,1,2024-06-01,9,9,1,0,6,2090861127.0,1887456018.0,537500528.0,B500,,2023-05-09T20:29:26.552Z,2025-11-18T01:38:55.197Z,current_2025_11_18,B500,3,Midwestern University,36-3377698,B
362167920,Advocate Sherman Hospital,% JAMES DOHENY,3075 HIGHLAND PKWY FL 6,Downers Grove,IL,60515-5563,0,3,3,1000,1956-05-01,1,12,150000000,1,1,2023-12-01,9,9,1,0,12,439941881.0,526074699.0,526065295.0,E220,,2023-05-09T20:29:20.421Z,2025-11-18T01:38:55.197Z,current_2025_11_18,E220,3,Advocate Sherman Hospital,36-2167920,E
821503941,Builders Initiative,% KARI HARRIS,167 N GREEN ST STE 1600,Chicago,IL,60607-2381,0,3,3,1000,2017-11-01,1,4,000000000,1,1,2023-12-01,9,9,0,1,12,1526854677.0,2607912150.0,,T22,,2023-05-09T20:42:46.758Z,2025-11-18T01:40:32.535Z,current_2025_11_18,T22,3,Builders Initiative,82-1503941,T
362167725,Art Institute Of Chicago,,111 S MICHIGAN AVE,Chicago,IL,60603-6110,0,3,3,1200,1925-08-01,1,15,119916030,1,1,2024-06-01,9,9,1,0,6,2070527457.0,828023466.0,493800993.0,B400,,2023-05-09T20:29:20.348Z,2025-11-18T01:38:52.395Z,current_2025_11_18,B400,3,Art Institute Of Chicago,36-2167725,B
237250155,Baxter Credit Union,,340 N MILWAUKEE AVE,Vernon Hills,IL,60061-1533,0,14,3,1000,2003-02-01,2,0,000000000,1,1,2024-12-01,9,9,1,0,12,6018343455.0,482765408.0,482765408.0,W61,,2023-05-09T20:27:07.107Z,2025-11-18T01:38:08.442Z,current_2025_11_18,W61,14,Baxter Credit Union,23-7250155,W
383852646,Osf Multi Specialty Group,% MICHAEL ALLEN,124 SW ADAMS ST,Peoria,IL,61602-1308,0,3,3,1000,2013-08-01,1,21,000000000,1,1,2024-09-01,9,9,1,0,9,191251053.0,475279090.0,475122387.0,E112,,2023-05-09T20:30:06.798Z,2025-11-18T01:39:10.195Z,current_2025_11_18,E112,3,Osf Multi Specialty Group,38-3852646,E
362167847,Javon Bea Hospital,% VICE PRESIDENT OF FINANCE,8201 E RIVERSIDE BLVD,Rockford,IL,61114-2300,0,3,3,1000,1943-11-01,1,12,150000000,1,1,2024-06-01,9,9,1,0,6,774016059.0,863567832.0,465104787.0,E220,,2023-05-09T20:29:20.421Z,2025-11-18T01:38:52.395Z,current_2025_11_18,E220,3,Javon Bea Hospital,36-2167847,E
370661223,Methodist Medical Center Of Illinois,,611 W PARK ST,Urbana,IL,61801-2529,0,3,3,1000,1938-04-01,1,11,150000000,1,1,2023-12-01,9,9,1,0,12,624064311.0,462965554.0,462892496.0,E220,,2023-05-09T20:29:40.643Z,2025-11-18T01:39:01.266Z,current_2025_11_18,E220,3,Methodist Medical Center Of Illinois,37-0661223,E
362170840,Copley Memorial Hospital Inc,% RUSH COPLEY MEDICAL CTR,2000 OGDEN AVE,Aurora,IL,60504-7222,0,3,3,1000,1934-10-01,1,12,150000000,1,1,2024-06-01,9,9,1,0,6,1153802676.0,1010219325.0,458039278.0,E220,,2023-05-09T20:29:20.491Z,2025-11-18T01:38:55.197Z,current_2025_11_18,E220,3,Copley Memorial Hospital Inc,36-2170840,E
362414944,Riverside Medical Center,,350 N WALL ST,Kankakee,IL,60901-2901,0,3,3,1000,1965-09-01,1,12,150000000,1,1,2023-12-01,9,9,1,0,12,761541453.0,640806117.0,457510290.0,E220,,2023-05-09T20:29:21.280Z,2025-11-18T01:38:55.197Z,current_2025_11_18,E220,3,Riverside Medical Center,36-2414944,E
362256036,Rehabilitation Institute Of Chicago,,355 E ERIE ST,Chicago,IL,60611-3167,0,3,3,1200,1954-06-01,1,12,150000000,1,1,2024-08-01,9,9,1,0,8,1266946907.0,656589058.0,446731155.0,E240,Shirley Ryan Ability Lab,2023-05-09T20:29:20.915Z,2025-11-18T01:38:55.197Z,current_2025_11_18,E240,3,Rehabilitation Institute Of Chicago Shirley Ryan Ability Lab,36-2256036,E
470824756,Howard G Buffett Foundation,% ALLEN D GREENBERG DIR - SEC,1053 W ROTARY WAY SUITE A,Decatur,IL,62521-9082,0,3,3,1000,1999-11-01,1,4,000000000,1,1,2024-12-01,9,9,0,1,12,395644308.0,870106032.0,,T99,,2023-05-09T20:31:29.560Z,2025-11-18T01:39:43.912Z,current_2025_11_18,T99,3,Howard G Buffett Foundation,47-0824756,T
362170136,Illinois Institute Of Technology,% STEPHANIE CARR,10 W 35TH ST STE 8C8-1,Chigago,IL,60616-3717,0,3,3,2000,1941-03-01,1,11,046161180,1,1,2024-05-01,9,9,1,0,5,724517274.0,651551108.0,444012183.0,B430,,2023-05-09T20:29:20.491Z,2025-11-18T01:38:55.197Z,current_2025_11_18,B430,3,Illinois Institute Of Technology,36-2170136,B
133039601,Alzheimers Disease And Related Disorders Association Inc,% HUMAN RESOURCES,225 N MICHIGAN AVE STE 1700,Chicago,IL,60601-7652,9334,3,6,1000,1985-06-01,1,15,161000000,1,1,2024-06-01,9,9,1,0,6,525774994.0,535939653.0,443925786.0,G830,Alzheimers Assoc,2023-05-09T20:26:13.129Z,2025-11-18T01:37:47.981Z,current_2025_11_18,G830,3,Alzheimers Disease And Related Disorders Association Inc Alzheimers Assoc,13-3039601,G
816220828,United Airlines Employee Sick Leave Tr,% MANAGING DIRECTOR RICHARD MAYES,PO BOX 6649,Chicago,IL,60680-6605,0,9,3,1000,2016-08-01,2,0,000000000,2,1,2023-12-01,8,9,1,0,12,49248021.0,443730072.0,443730072.0,Y43,,2023-05-09T20:33:34.622Z,2025-11-18T01:40:29.529Z,current_2025_11_18,Y43,9,United Airlines Employee Sick Leave Tr,81-6220828,Y
362739299,Trinity Medical Center,% SUE KAISER FINANCE DIRECTOR,2701 17TH ST,Rock Island,IL,61201-5351,928,3,9,1000,1946-03-01,1,12,150000000,5,1,2023-12-01,9,9,1,0,12,454734098.0,486117029.0,436923038.0,E220,,2023-05-09T20:29:22.208Z,2025-11-18T01:38:55.197Z,current_2025_11_18,E220,3,Trinity Medical Center,36-2739299,E
362169179,Northwestern Memorial Healthcare,% DAVID BILLER,541 N FAIRBANKS CT RM 1630,Chicago,IL,60611-3319,5878,3,9,1000,2011-06-01,1,17,150000000,1,1,2020-12-01,9,9,1,0,8,,,,E22,Palos Community Hospital,2023-05-09T20:29:20.491Z,2025-11-18T01:38:55.197Z,current_2025_11_18,E22,3,Northwestern Memorial Healthcare Palos Community Hospital,36-2169179,E
361509000,Mount Sinai Hospital Medical Center,% GARY KRUGEL,CALIFORNIA AVENUE AT 15TH STREET,Chicago,IL,60608-0000,0,3,3,1200,1926-12-01,1,12,150154030,1,1,2024-06-01,9,9,1,0,6,318160407.0,428262286.0,428262286.0,E220,,2023-05-09T20:29:19.956Z,2025-11-18T01:38:52.395Z,current_2025_11_18,E220,3,Mount Sinai Hospital Medical Center,36-1509000,E
261215559,Abbvie Patient Assistance Foundation,% RICHARD E GREEN,ZZ22 AP34-1 1 N WAUKEGAN ROAD,North Chicago,IL,60064-0000,0,3,3,1000,2008-05-01,1,4,000000000,1,1,2023-12-01,8,9,0,1,12,49899323.0,619071020.0,,T20,,2023-05-09T20:27:36.033Z,2025-05-19T14:38:15.059Z,pre_2025_06_17,T20,3,Abbvie Patient Assistance Foundation,26-1215559,T
362170866,Ingalls Memorial Hospital,,1 INGALLS DR,Harvey,IL,60426-3558,0,3,3,1000,1937-02-01,1,12,150000000,1,1,2024-06-01,9,9,1,0,6,435665554.0,388777699.0,387878212.0,E220,,2023-05-09T20:29:20.491Z,2025-11-18T01:38:55.197Z,current_2025_11_18,E220,3,Ingalls Memorial Hospital,36-2170866,E
376028123,Citizens Equity First Credit Union,,PO BOX 1715,Peoria,IL,61656-1715,0,14,3,1000,2001-10-01,2,0,000000000,1,1,2023-12-01,9,9,1,0,12,7460577542.0,370343314.0,367653194.0,W61,,2023-05-09T20:29:48.620Z,2025-11-18T01:39:04.098Z,current_2025_11_18,W61,14,Citizens Equity First Credit Union,37-6028123,W
362167808,National Opinion Research Center,% ELLEN BEATTY,55 EAST MONROE STREET,Chicago,IL,60603-5713,0,3,3,2800,1943-02-01,1,15,161180059,1,1,2024-12-01,9,9,1,0,12,225002289.0,398378242.0,397190163.0,V200,,2023-05-09T20:29:20.421Z,2025-11-18T01:38:52.395Z,current_2025_11_18,V200,3,National Opinion Research Center,36-2167808,V
370661199,Decatur Memorial Hospital,,701 N 1ST ST,Springfield,IL,62781-0001,5670,3,9,1000,2010-04-01,1,12,150000000,5,1,2024-09-01,9,9,1,0,9,,,,E21,,2023-05-09T20:29:40.643Z,2025-11-18T01:39:01.266Z,current_2025_11_18,E21,3,Decatur Memorial Hospital,37-0661199,E
371140016,Carle Health Care Incorporated,% DENNIS HESCH EXEC VP & CFO,611 W PARK ST,Urbana,IL,61801-2529,0,3,3,1000,1984-06-01,1,16,602000000,1,1,2023-12-01,9,9,1,0,12,82743903.0,323589828.0,323589828.0,E21Z,,2023-05-09T20:29:42.711Z,2025-11-18T01:39:01.266Z,current_2025_11_18,E21Z,3,Carle Health Care Incorporated,37-1140016,E
810585993,Pert Foundation,% THE CHICAGO COMMUNITY TRUST,33 S STATE STREET 750,Chicago,IL,60603-2804,0,3,3,1000,2003-02-01,1,17,000000000,1,1,2024-09-01,9,9,1,0,9,317276071.0,313272125.0,311720445.0,T20,,2023-05-09T20:33:17.846Z,2025-11-18T01:40:23.218Z,current_2025_11_18,T20,3,Pert Foundation,81-0585993,T
370663567,St Elizabeths Hospital Of The Hospital Sisters Of The Third Orde,% JOHNNY WATKINS,4936 LAVERNA RD,Springfield,IL,62707-9797,928,3,9,1700,1946-03-01,1,10,001030150,5,1,2024-06-01,9,9,13,0,6,326723699.0,307809021.0,305431384.0,E220,,2023-05-09T20:29:40.716Z,2025-11-18T01:39:01.266Z,current_2025_11_18,E220,3,St Elizabeths Hospital Of The Hospital Sisters Of The Third Orde,37-0663567,E
364096312,Illinois Network Of Child Care Resource And Referral Agencies,,1226 TOWANDA AVE,Bloomington,IL,61701-3424,0,3,3,1000,1997-05-01,1,15,994569000,1,1,2024-06-01,8,9,1,0,6,13184972.0,299964425.0,299964425.0,P99,,2023-05-09T20:29:32.353Z,2025-11-18T01:38:58.133Z,current_2025_11_18,P99,3,Illinois Network Of Child Care Resource And Referral Agencies,36-4096312,P
